"Notes","Exclude","StartDate","EndDate","Status","IPAddress","Progress","Durationinseconds","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","WorkerID","AgreeParticipate","CollTeachThoughts","SculptorRating","SculptorExplain","sculptor_effortlackof","sculptor_effortany","sculptor_sdllackof","sculptor_sdlany","sculptor_pglackof","sculptor_pgany","sculptor_enjoylow","sculptor_enjoyhigh","sculptor_feedbacklackof","sculptor_feedbackany","sculptor_carelackof","sculptor_careany","sculptor_infllackof","sculptor_inflany","sculptor_admirelackof","sculptor_admireany","GardenerRating","GardenerExplain","gardener_effortlackof","gardener_effortany","gardener_sdllackof","gardener_sdlany","gardener_pglackof","gardener_pgany","gardener_enjoylow","gardener_enjoyhigh","gardener_feedbacklackof","gardener_feedbackany","gardener_carelackof","gardener_careany","gardener_infllackof","gardener_inflany","gardener_admirelackof","gardener_admireany","CoachRating","CoachExplain","coach_effortlackof","coach_effortany","coach_sdllackof","coach_sdlany","coach_pglackof","coach_pgany","coach_enjoylow","coach_enjoyhigh","coach_feedbacklackof","coach_feedbackany","coach_carelackof","coach_careany","coach_infllackof","coach_inflany","coach_admirelackof","coach_admireany","AppStoreRating","AppStoreExplain","app_effortlackof","app_effortany","app_sdllackof","app_sdlany","app_pglackof","app_pgany","app_enjoylow","app_enjoyhigh","app_feedbacklackof","app_feedbackany","app_carelackof","app_careany","app_infllackof","app_inflany","app_admirelackof","app_admireany","TourGuideRating","TourGuideExplain","tg_effortlackof","tg_effortany","tg_sdllackof","tg_sdlany","tg_pglackof","tg_pgany","tg_enjoylow","tg_enjoyhigh","tg_feedbacklackof","tg_feedbackany","tg_carelackof","tg_careany","tg_infllackof","tg_inflany","tg_admirelackof","tg_admireany","CaptainRating","CaptainExplain","captain_effortlackof","captain_effortany","captain_sdllackof","captain_sdlany","captain_pglackof","captain_pgany","captain_enjoylow","captain_enjoyhigh","captain_feedbacklackof","captain_feedbackany","captain_carelackof","captain_careany","captain_infllackof","captain_inflany","captain_admirelackof","captain_admireany","PersonalMetRank","PersonalMetRank_8_TEXT","PersonalMetExplain","Gender","Gender_5_TEXT","AttentionCheck","RaceEthnicity","RaceEthnicity_7_TEXT","CollegeYesNo","CollegeLongAgo","field","EducationLevel","TeachExp","ExperienceFree","Age_1","Political","LibCons_1","Issues","Comments","mTurkCode","filter_$","recentcollege","sculptmetrat","gardmetrat","coachmetrat","appmetrate","tourmetrate","captmetrate","INC_metaphoricality"
,,"6/20/18 11:04","6/20/18 11:31",0.0,"24.183.64.249",100.0,1599.0,1.0,"6/20/18 11:31","R_3EMAOhPYxrTRHBy",,,,,42.77009583,-89.25009918,"anonymous","EN","A1CMDCHS6TMIHU",1.0,"I think about them being very liberal and opinionated. They mean well, but they are going to be paid no matter what. They work for a private institution where the students pay to be there, unlike a public school, where tax dollars pay them.",3.0,"I don't completely agree with this metaphor, because it implies that students don't think for themselves. College students are probably one of the most opinionated types of people. A teacher doesn't mold their minds, but adds to it.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,"I agree with this because it means that teachers plant ideas into their heads and then the students use that information to grow. Whether or not they agree with the info they still have that information in their minds.",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,"This is probably the most direct metaphor. A teacher coaches students and directs them what they need to do. They don't always follow exactly what they say because they have a mind of their own and control, what they think.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,"This makes sense because the teacher is providing students with a service with information. They offer many things to students and its up to students what they take in and decide to remember and learn from.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,"I can see that being a reasonable metaphor, because they guide and teach students. They have something new to show and speak about with students.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,"This is a decent metaphor. A teacher is kind of like a boss to students, because they have control over students in things like homework and tests. They are an authority figure because they have control over what students do in the classroom.",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,"I think that teachers are there to help students learn and grow. When you are done with a class you will always know something more than you knew before and so your knowledge grows, like a plant.",2.0,,3.0,1.0,,1.0,6.0,"English",5.0,2.0,,33.0,2.0,50.0,"no","no","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM22425850674</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,0.0,2.0,4.0,4.0,4.0,2.0,3.0,1.0
,,"6/20/18 23:38","6/20/18 23:53",0.0,"24.7.159.227",100.0,905.0,1.0,"6/20/18 23:53","R_3F3rCR8CVz6JIXe",,,,,38.4828949,-121.639801,"anonymous","EN","A2XNCXY2EEKBC6",1.0,"I believe a level of prestige comes to the position, and I do admire the work they do. I feel a college teacher is a highly stressful job, but can be rewarding.",5.0,"Students have open minds and are ready to absorb the knowledge given to them so I definitely agree. Clay is nothing without a sculptor; students cannot absorb knowledge without a guide",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,"A student can only grow when somebody is tending to those needs, so this is a good example.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,"A coach I feel is more of a mentor, and I do not see this as a good comparison. Yes coaches can teach but athletics center on a more physical approach or exercise than a full on teacher.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,"I agree because students are accessing information and expanding their knowledge. It is something you can do with an app so this is a good comparison.",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,"True a tour guide has a vast amount of knowledge and he is guiding students to open their minds to new experiences and ideas.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,"I feel using the metaphor there is no captain, you should work together to all achieve a similar goal. There are leaders, but nobody should be held in higher regard to the contributions of others.",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,,"I prefer this one over the others, perhaps because it is more current or modern to technology today, and it fits for my educational experience. Most of the engineering professors that I worked with did not help as much and were more interested in just getting through the lecture and making there money. It was rare for a professor to care at a University versus when I went to community college, so my experience has me a bit more detached and thinking this way. An app can guide you as it what they want you to learn or study for exams, but it was more up to me to figure it out with other students, and interpret their ideas. The teacher assistants were definitely more helpful than the instructors from my experience.",2.0,,2.0,,,2.0,,,4.0,2.0,,28.0,2.0,50.0,"NO","NO","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM98806225962</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,,5.0,3.0,1.0,3.0,3.0,2.0,1.0
,,"6/20/18 14:45","6/20/18 14:52",0.0,"70.189.224.54",100.0,457.0,1.0,"6/20/18 14:52","R_3G7ioRess2FwcZm",,,,,36.03970337,-114.9819031,"anonymous","EN","A2V995T3ER2ACH",1.0,"Someone who is calm and collected and inquisitive. Someone who values ideas and thinking and spends time in thought on many occasions.",4.0,"A teacher may mold a student to some extent, but with free will and other influences the ability to do so is very much limited.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,"A teacher can grow a student into different levels of education, but he does not have the ability to decide what kind of ""plant"" a student becomes.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,"I think that's true in the sense that a teacher trains a student like a coach. However I think the way that a coach acts aggressively towards his athletes is very different from a professor.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,"This is true in the sense that a student gets to choose what professor they learn from, and utilize. However a professor doesn't quite offer the variety that is typical of an app store.",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"A teacher can show the students their own world view through a lense, much like a tour guide. I think this is a good metaphor",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,"A teacher guides his students like a captain, but a captain has more authority over his sailors than a professor does over his students.",0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,,"Becasue this highlights the idea that a teacher is merely a guide who is showing the world to their students through their eyes, sharing the experiences that they have had.",2.0,,1.0,1.0,,1.0,6.0,"business",5.0,1.0,"I was a substitute teacher for 2 years, I am a homeschooling mother and I have taught sunday school to children various times.",36.0,2.0,81.0,"No.","No thank you","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM37528793905</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
,,"6/20/18 17:20","6/20/18 17:26",0.0,"50.46.135.79",100.0,378.0,1.0,"6/20/18 17:26","R_3G7VJF2mkBuW2xE",,,,,47.85609436,-122.2828979,"anonymous","EN","A2E3TO92MCQ9XU",1.0,"I think of someone who's probably an adjunct professor and is underpaid. I think this person deserves better in life, and should be more respected for the service he or she is providing for the community.",2.0,"Clay will allow anyone to sculpt it. Students are not like that. Some are simply not receptive to the sculpting.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"Teachers do not have the level of control and responsibility that gardeners have over plants, when talking about students. There’s not that much they can do if students don’t care.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,"This is true to some extent, except most athletes are self-selected by their desire to be on the team, and they want to perform well. That’s not always the same with students.",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"This is just a really poor metaphor all around. Aside from the interaction there’s very little to latch on to as a metaphor.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"Like a tour guide, teachers can talk and show all they want. Ultimately it’s up to the students whether they pay attention.",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,"Captains have the moral and legal authority to order sailors around, and to punish them to bring them into compliance. Teachers lack these things, and bad grades are hardly punishment for a student who simply doesn’t care.",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,,"I think it's the most accurate portrayal of the student teacher relationship and the limitations within, based on my own experiences.",1.0,,3.0,1.0,,1.0,6.0,"computer science",5.0,2.0,,35.0,1.0,0.0,"no","no","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM4846974692</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,0.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0
"Copy/pasted nonsense answers","Yes","6/20/18 22:30","6/20/18 22:33",0.0,"45.57.176.9",100.0,233.0,1.0,"6/20/18 22:33","R_3GBqchtveuFGg9b",,,,,39.0572052,-94.59329987,"anonymous","EN","A2H0HIFCLV9FF2",1.0,"First, what comes to mind when you think about a college teacher? Jot down your thoughts in a sentence or two.First, what comes to mind when you think about a college teacher? Jot down your thoughts in a sentence or two.",4.0,"First, what comes to mind when you think about a college teacher? Jot down your First, what comes to mind when you think about a college teacher? Jot down your thoughts in a sentence or two.thoughts in a sentence or two.First, what comes to mind when you think about a college teacher? Jot down your thoughts in a sentence or two.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"First, what comes to mind when you think about a college teacher? Jot down your thFirst, what comes to mind when you think about a college teacher? Jot down your thoughts in a sentence or two.oughts in a sentence or two.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"First, what comes to mind when you think about a college teacher? Jot down your thoFirst, what comes to mind when you think about a college teacher? Jot down your thoughts in a sentence or two.ughts in a sentence or two.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,"First, what comes to mind when you think about a college teacher? Jot down your thoughts in a sentence or two.First, what comes to mind when you think about a college teacher? Jot down your thoughts in a sentence or two.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"First, what comes to mind when you think about a college teacher? Jot down your thoughts in a sentence or two.First, what comes to mind when you think about a college teacher? Jot down your thoughts in a sentence or two.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"First, what comes to mind when you think about a college teacher? Jot down your thoughts in First, what comes to mind when you think about a college teacher? Jot down your thoughts in a sentence or two.a sentence or two.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,"The metaphor you chose as your favorite is: ""A teacher is like an app store and students are like smartphone users""",,,,,,,,,,,,,,,,,,,,,,,,,,
"Why do you prefer this metaphor? How does this metaphor fit your experiences and views of college teaching?	1	 	2	1	 	1	5	4	6	1	good	27	1	65	nice	nice	span style=olor:#000000;<span style=ont-weight: 700; font-size: 16px;TM61493810162</span><span style=ont-size: 16px; font-weight: 700;1806</span></span>	0	1	 	 	 	 	 	 	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"6/21/18 1:05","6/21/18 1:13",0.0,"72.176.133.110",100.0,497.0,1.0,"6/21/18 1:13","R_3gRCDKCza9Q0z0Y",,,,,31.71110535,-106.3261032,"anonymous","EN","A3VRBYINUIXYWS",1.0,"I think that a college teacher is often stuck up or self centered, at times they are unconnected to the world outside of their field.",4.0,"Often times we find teachers trying to mold students into what they see fit instead of what they want to be.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,"I think that a teacher is a gardener who only knows about trees but is growing watermelon.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,"They tell students what to do",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"We do not get to pick what goes on its not like looking at the app store",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"A tour guide who only takes you places where they like to be as opposed to showing you everything there is to see.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,"Teachers are the ones who dictate what occurs inside the classroom and often no matter what the students say it only matters what the teacher says.",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,,"I like it because it shows how teachers who are extremely knowledgeable in their field on touch on the topics they feel comfortable with. This happened to me in a Chicano study class the professor only talked about Gary Soto.",2.0,,1.0,1.6,,1.0,6.0,"ENglish",5.0,1.0,"I teach high school english.",29.0,1.0,3.0,"Mturk",,"<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM14364095609</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,0.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0
,,"6/20/18 16:06","6/20/18 16:20",0.0,"24.142.248.142",92.0,840.0,0.0,"6/22/18 9:11","R_3hb6GEPxihXZ58r",,,,,,,"anonymous","EN","AZ7FN3O9NQARB",1.0,"Someone who has a great deal of knowledge, and is interested in the success of their students. The best professors I've had have been very well versed in the topic they teach, but also expects a high level of effort from their students. A teacher who coddles students too much, or is too lenient on his/her students is generally not a great teacher.",5.0,"Students are there to absorb information taught to them by the professor, so I think comparing them to an artist and a work of art is a fair comparison. Just like the artist won't be successful if their work is garbage, a professor should be judged on the success of his/her students. The students need to teacher to teach them, in order to grow and mature. Sometimes, a great teacher can change a student's life and/or career path.",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,"A teacher provides the resources and information for students to grow as educators. Especially at the entry level, college classes are more than just absorbing information and vomiting it back to the professor in paper or exam form. The best teachers help students become successful learners, and provide them with the skills necessary to succeed, rather than simply feeding them the answers.",0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,"Coaches are there to encourage players, but also help them make the best decisions and are there for tough love when it's needed. Too many college students think they can simply make up grades with extra credit, and that shouldn't be the case. Just like an athlete is to blame if they perform poorly on the field, a student is to blame if their grades aren't up to expectations.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,"This makes it sound like the students can pick and choose what is important to them, which shouldn't be the case when it comes to an education. Professors should be resourceful and knowledgeable, not just there for students to take advantage of.",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,"In a sense, the teacher is the tour guide guiding students through a topic that is hopefully new to them, just like a tour guide would guide tourists through a new city. If the tour guide is crap, the tourists lose out on information they may be interested in.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,"Calling the teacher the captain and students the sailors makes it seem more like the professor is in charge, and the students are simply yes men/women who are to follow the professor's every command. I don't think a good classroom environment works like this.",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,,"It represents the good professors I've had so far in my college education. A good professor nurtures a student and helps him/her succeed, without coddling it or simply letting it slide by. I think the imagery of a plant represents a student's growth well, and shows that the gardener simply can't grow something without the plant, and the plant can't grow without the gardener. It's a partnership that represents success for both parties.",2.0,,3.0,1.0,,2.0,,,5.0,2.0,,28.0,2.0,44.0,"None","None",,1.0,,5.0,5.0,5.0,3.0,4.0,4.0,0.0
,,,,0.0,"157.182.121.252",100.0,1176.0,1.0,,"R_3hyVJBBvT1aKqYb",,,,,39.64559937,-79.94329834,"anonymous","EN","A1ZZ7YO3YASNIP",1.0,"A professor who is specialized in a certain subject and teaches several different courses at a college or university.",4.0,"The metaphor makes sense since teachers tend to shape students' way of thinking and help mold them into slightly different versions of themselves.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,"This metaphor makes sense since gardeners cultivate plants like teachers have to cultivate students to foster a positive learning experience and environment.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,"This metaphor makes sense because like a coach with athletes working toward winning games, a teacher rallies their students to work toward goals such as exams and projects.",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,"I don't really understand the reference here. It just doesn't make for a metaphor that translates well to teachers and students.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"This metaphor makes sense because a tour guide illustrates and enables tourists to see and experience things that they would not otherwise without their help, similar to how a teacher guides their students to learn.",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,"It makes sense since a professor tends to lead a class of students like a captain would lead a ship.",0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,,"I prefer this metaphor because I believe it most accurately captures the essence of the teacher/student relationship. Students have to grow on their own, but teachers are there to foster their growth and development.",2.0,,3.0,1.0,,1.0,6.0,"Environmental Policy and Planning",5.0,2.0,,26.0,1.0,0.0,"No","N/A","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM63721723961</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,0.0,4.0,5.0,5.0,1.0,2.0,2.0,0.0
,,"6/20/18 22:30","6/20/18 22:39",0.0,"47.196.157.224",100.0,566.0,1.0,"6/20/18 22:39","R_3itdhvSHkbVmtfc",,,,,28.0821991,-82.52390289,"anonymous","EN","A3CI73EFDLS3OF",1.0,"I think of a laid back person who is passionate about what they do. They come to class in jeans or other laid back clothes but really understand what they are teaching and want to inspire the students.",5.0,"The college teacher is ""molding"" the students. They are preparing them for their future career and giving them the structure they need to accomplish that.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,"The teacher is giving the students what they need to grow as a person and grow into their future careers.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,"I could see professor/student being very similar to the coach/athlete relationship. The athlete/student already has some experience in what they are doing but they need more guidance to learn more about the subject/sport.",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,"This metaphor implies the students are using the teacher. Also it implies that the students aren't really learning anything; they're just using a resource. I don't think either of those statements are true.",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"I think of a tour guide of more like showing people around a place they have never seen. College students usually choose their major and know what they are getting into and probably even have prior education on the subject.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"I think this statement implies that the students are simply following orders and not really learning anything new. I don't think that's true at all. In my experience a college classroom is more of a collaborative experience between teacher and student.",1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,,"I prefer this metaphor because of how I phrased it earlier. The athlete/student is a novice or beginner in their sport/major and the coach/teacher is there to guide them to learn more about their sport/major. From my experience, classrooms were not always about taking tests and looking at a teacher perform a lecture. It was a very collaborative experience and discussion was encouraged.",2.0,,3.0,1.0,,1.0,5.0,"mathematics",6.0,2.0,,28.0,1.0,18.0,,,"<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM59217630525</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0
,,"6/20/18 17:17","6/20/18 17:23",0.0,"76.108.239.107",100.0,402.0,1.0,"6/20/18 17:23","R_3IX0mft2c5uOpVM",,,,,26.37969971,-80.17070007,"anonymous","EN","A2J8DTVZ7YT96U",1.0,"A college teacher helps their students to think of topics from different perspectives and foster independent thinking. They also help prepare students for their chosen career.",4.0,"While I agree that teachers help to mold students, I again feel that students must engage and have an active role in molding themselves as well.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,"This is also a good metaphor, students grow and change with their teachers aid, and each student becomes a unique individual.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,"I definitely agree here, because with this metaphor, the students can vary in ability based on how well they listen to the coach and their individual motivation and athletic ability.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,"This partially applies, but in the case the active and passive role of the metaphor is flipped. Here it seems the student actively seeks information and the teacher provides it. However, the teacher also provides information the student didn't even realize they were looking for.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,"I think the student has more of an active role in learning, and the idea of being a tourist is very passive.",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"The teacher leads the ship and the students follow. I agree but I also think it makes the students seem like blind sheep.",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,,"I liked this metaphor because it emphasizes the advising and teaching role of the teacher and the individuality of the students. They are not all being molded the same or taking all of the nurturing from the teacher, but instead growing and changing in their own ways.",2.0,,3.0,1.0,,1.0,1.0,"Psychology",5.0,2.0,,20.0,1.0,27.0,,,"<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM32170762730</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0
