StudyID,Study,Condition,Durationinseconds,worker,Q93,teacher_thoughts,metaphor_think,transfer,holdattention,communicate,present,challenge,motivate,participate,question,conversation,stimulate,answer,knowadvance,expectations,rules,knowledgeable,respect,prepared,confident,posenviron,care,feedback,gettoknow,needs,understanding,available,listen,personable,community,knowotherstudents,support,teamwork,discussion,debate,creative,goal,effort,influence,adapt,experts,authority,intelligent,abstract,knowtalkabout,ATTCHK4,metaphorother,teacresponsibility,studresponsibility,tvs,influence_learn,influence_develop,favorite_metaphor,favorite_metaphor_8_TEXT,Metaphor_justify,gender,attentioncheck,race,race_7_TEXT,college,Collegelongago,education,teachexp,experience_free,age_1,political,political_4_TEXT,lib_cons_1,Q92,Q93_A,f2_nurterer,f3_authority,f1_communitybuilder,f4_engagingcommunicator,f5_stimulator
75,1,tourguide,856,A3SHZQLYH7L1V4,1,Old human that does not like his/her job and does not care about student's livelihoods. I see someone who doesn't take extra time to explain the subject well.,In a way a teacher is a tour guide when they lecture about a subject. The problem is that the work they give you is either ridiculously hard or manageable.,5,5,1,6,1,1,1,1,6,1,6,6,5,5,6,1,5,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,1,1,6,4,no,0,86,2,55,19,4,NA,I like this metaphor only because it is better than the other metaphors. Most college professors don't care about their students and just go on with their day. Every other option had a caring that was higher than I thought that professors have.,1,3,4,NA,1,2,5,2,NA,25,1,NA,46,no,no,-2.848062945,-0.682369623,-2.149502946,-1.577560562,-2.288541748
76,1,tourguide,707,ABZD7CRM46SN,1,helping me be the person that I want to become. Helping me achieve my career goals and life goals. Educate me and guide me on my career path.,"taking me down the road of life, Guiding and showing me what I need to do to make my career a success . teaching me skills to keep me going on down the path.",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,4,none,100,100,2,100,100,2,NA,i can picture it in my mind. It is a great saying that I may use one day. The teacher attends the garden and giving food for thought and that make us grow as adults.,2,3,1,NA,1,2,4,2,NA,25,3,NA,100,none,n/a,1.375512404,1.241161593,1.361642226,1.336651505,1.411133727
77,1,tourguide,620,A1IKPR37L8F17,1,"Gosh, I  had good and bad. Where do you start? Taking classes were really based around, finally for me, what the professors were graded by the students who took their classes","Teachers can show you around, give you knowledge about things, but if you do not choose to look you won't see or understand what they are teaching you.",3,3,2,7,3,3,5,5,4,5,7,5,6,6,6,5,6,4,6,4,3,4,2,3,4,6,3,4,4,2,5,4,5,3,5,4,4,1,5,3,5,4,5,4,NA,50,98,2,100,88,3,NA,"I prefer that one, because I played sports. They should be pushing you to do well, but all in all it comes down to the student.",2,2,1,NA,1,2,5,2,NA,24,2,NA,53,NO,No,-1.6591197,0.017170912,-0.492078835,-1.468758805,0.166141289
78,1,tourguide,1195,ASKRF26SNXMFO,1,"A person at the height full of knowledge, who shares his knowledge with other people in order to educate and teach
","The teacher indicates, teaches and the students learn. The teacher shows all his knowledge in order to help them and teach everything they know, the students if they are interested try to learn
",3,4,5,4,6,4,5,4,4,4,4,5,5,3,5,5,3,6,4,4,5,5,4,4,4,4,4,5,4,4,5,4,2,6,3,4,6,4,5,5,5,4,3,4,None,77,81,1,58,73,4,NA,"Because the teacher is responsible for imparting knowledge and guiding and this fits more to this metaphor
",1,3,1,NA,1,3,5,2,NA,26,3,NA,68,Any,Any,-0.61260762,-0.247417481,-0.052929931,-0.155530513,-0.904134971
79,1,tourguide,556,A1IZ4NX41GKU4X,1,For me its someone that is interested in helping form young minds for the betterment of those individuals. Its a a person that is willing to put in the long hours for what at times is not great pay.,They are there to help guide the students through the curriculum. The students are there to seek guidance from as this is new to them so they need to be guided.,7,4,4,7,7,7,7,1,1,7,7,7,4,4,7,1,7,7,7,7,4,1,1,1,7,7,1,1,1,1,4,1,1,7,7,7,7,4,7,4,7,1,7,4,NA,100,50,1,100,19,3,NA,"I think this metaphor has the teacher providing guidance and helping the student. However, it also has the student having to put in hard work in order to make sure that what is being taught is learned and applied in order to succeed.",1,2,"1,2,6",NA,1,5,5,2,NA,29,2,NA,50,no,no,-1.204720481,-1.067196914,-2.006686919,-0.737726526,-1.584301868
80,1,tourguide,285,A2WYCY1FMQOD5F,1,someone who has an authority and is an elder that must be respected.Someone that has a big amount of influence over people.,They can guide you through a walk of life and show you different ways of thinking.They show you as the student that you can view things from a more outer aspect of life.,4,5,5,5,4,5,4,4,5,5,6,4,5,5,5,4,5,5,5,5,5,4,4,6,5,6,5,5,5,5,5,5,4,6,5,5,4,4,5,5,5,3,5,4,NA,73,55,1,73,57,2,NA,because the students and the teachers are close and the teacher plants the seeds in the students.The students then flourish and grow over time together as the teacher guides them and grows them.,1,3,1,NA,1,1,4,2,NA,29,3,NA,75,NA,NA,-0.434190865,-0.318908981,0.240831017,-0.091140023,-0.061236804
81,1,tourguide,1043,A197FECF831H95,1,They are older and very educated.  They are smart but not too personable.  They are probably even a little mundane and lead very structured lives.,They instruct students to a more knowledgeable area of their studies.  They take students on a journey showing them more insight into their fields of interests.,5,5,6,6,3,4,5,3,5,5,5,3,3,3,6,3,5,5,5,4,5,5,5,4,5,6,5,6,5,4,5,5,3,5,4,5,3,5,4,3,4,4,5,4,NA,93,100,2,94,52,3,NA,It sounds like more of the perspective of how I thing about it.  My teachers encourage me when needed and get on to me when needed,2,3,1,NA,1,3,4,2,NA,28,3,NA,77,no,no,-0.1145891,-1.309887855,0.119951216,0.197118992,-0.327738258
82,2,coach,560,A39AFP7WCWP425,1,Qualified and competent. Academic. In it for the love of the subject. Wants to progress his/her field of study.,"A coach is someone who has been doing it for years, much like a teacher. The student is learning from the teacher/coach.",6,5,7,6,7,7,6,6,4,7,6,7,7,7,6,7,7,7,6,5,7,6,2,4,6,5,4,7,2,4,7,2,5,5,7,7,6,5,6,7,7,5,7,4,NA,80,100,2,100,40,3,NA,The teacher/coach teaches and demonstrates based on their own experiences. They take the lesson from their own experiences so the students/athletes can learn from that.,1,2,4,NA,1,1,7,1,Teaching younger students below me about the subjects that I've already been through.,25,1,NA,29,no,no,-0.485272982,1.660260494,-0.042246601,0.488947213,-0.315481384
83,2,coach,493,AX8WLDRDXA7P9,1,"When I think about a college teacher, I think of professors who charge us too much for their textbooks. I also think of them as people who are more focused on their own research and works rather than teaching us.",A college teacher can be  like a coach because they both instruct their pupils how to get better at a particular subject. Students are like athletes because they need guidance from more experienced people like coaches and teachers to learn what they want to do.,3,3,4,7,4,4,5,6,3,5,4,4,4,4,6,5,5,5,4,3,4,3,4,3,3,2,4,4,4,4,4,5,4,5,5,3,5,4,4,3,5,4,5,4,Nope,70,30,1,80,20,3,NA,"I prefer the metaphor that a teacher is a like a coach and students are like athletes because the metaphor is the most accurate representation of the teacher-student relationship. Both the coach and the teacher are experienced people who are trying to teach their pupils how to become better at the subject they are experienced in, while students and athletes are trying to learn from their betters.",1,3,4,NA,1,2,5,1,I taught young teens as a tutor in college.,24,2,NA,36,No.,Nope.,-0.991758507,-0.490299161,-0.313293841,-0.768714929,0.170157592
84,2,coach,671,AP5FFWL34QMZ8,1,I think about how some of them are very strict and others are laid back. Some of them are late to class sometimes and it seems unfair to the students paying for that class.,"A college teacher can be a coach because they are training students for life, just like a coach of a team would train the athletes. They push you until you're ready, and understand.",6,5,4,7,6,7,6,7,7,7,7,6,7,7,7,7,6,7,6,5,7,7,5,7,6,3,6,7,6,6,7,5,5,6,7,7,6,7,7,7,7,6,7,4,NA,100,100,1,85,65,2,NA,"In my experience with my college teachers, it seems like this metaphor is the most true, because students grow, and absorb the information like a plant would water or sun. The teacher is helping the student grow, as a person, and as a student by teaching them. Teachers need to be tending with the students, and understand them to help them learn (or grow!)",2,3,1,NA,2,NA,3,2,NA,20,1,NA,9,No!,This was a fun survey!,0.617134521,1.386217416,1.043181674,0.371430589,0.603691959
85,2,coach,456,A30RTQC0LLY19K,1,"I think of a college teacher as an old white man with a beard. Usually pretty liberal and chill, but stuck in their ways.",A college teacher can be a coach to the students athlete because the teacher just provides guidance and hones in on the knowledge that the student already had.,3,3,4,6,6,5,5,3,3,5,5,3,4,4,5,5,3,7,5,5,6,4,6,3,2,5,3,5,6,2,6,3,5,3,4,6,5,3,2,5,6,4,5,4,None,75,100,2,22,87,2,NA,"Because a teacher starts the students out with the foundation as does the garden to his/her plants. The students are then required to get what they need to fruit (sunlight), but the teacher needs to provide guidance along the way (water).",1,2,2,NA,2,NA,3,2,NA,28,2,NA,0,None,None.,-0.498863029,-0.126501351,-0.214310319,-0.427387122,-0.338338965
86,2,coach,338,A12ATVBE1I4567,1,I think of a college professor that has a lot of knowledge in a subject. He/she might also be doing research on the side.,A college teacher can be like a coach because he helps guide and influence the students(athletes) on their path to success. He/she can also share their experience which is important.,4,4,4,5,4,4,4,4,4,5,5,5,4,4,4,4,5,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,4,teachers use their experience to help students,55,80,2,60,60,4,NA,"Because a tour guide is there to guide and experience, but ultimately everyone is different and everyone has their own way of growing and learning.",1,3,4,NA,1,5,5,1,I was a tutor in high school. It was not the same as a teaching job in college but there were some similar elements.,30,2,NA,50,No,NA,-0.350128703,-0.693631921,-0.336375975,-0.831767419,-0.277588531
87,2,coach,1133,AT4WOAQUBY4I9,1,A professor that mostly teaches students that are over the age 18. Also someone that helps students achieve their goals and teaches them new skills/information.,A college teacher can be like a coach by instructing students on how to work on the classwork. Students are like athletes by receiving the instruction and expertise on subjects from the college teacher.,7,6,7,7,7,7,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,6,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,4,no.,100,100,2,50,25,2,NA,I like this metaphor because I relate to it by the teacher being the gardener with how they 'water' students with new skills/information. If the 'water' is useful to the students then they will grow and flourish like plants do with water.,2,3,1,NA,1,1,4,2,NA,26,3,NA,70,no.,none.,1.180153313,1.093539429,1.38305077,1.210692884,0.605303454
88,2,coach,528,A2MK7JYJLKWSIH,1,I think about a studious individual who is very well read and knowledgable about a few certain topics.,"A college teacher guides students to being the best version of themselves by encouraging them to be studious, just as a coach would help athletes and push them to their physical limits. A college professor pushes students to their mental limits and beyond.",6,5,6,6,7,7,6,5,3,5,6,6,6,6,7,7,4,7,5,6,6,6,5,5,6,3,5,6,5,6,7,4,3,3,7,5,6,7,6,7,4,3,7,4,NA,50,75,2,80,80,2,NA,"First of all, I love gardener references because I love plants in general. But this specifically fits best I feel because a teacher plants seeds and it is up to the students to grow. The students will grow on their own but they do need a little help from the gardener (teacher), to be the best version of themselves.",2,3,1,NA,1,5,5,2,NA,27,1,NA,5,NA,NA,0.514340875,1.096864853,0.843814401,0.456025783,-0.559584088
89,2,coach,421,A2HMMAYQ3SDKTH,1,A college teacher is someone that makes it easier to learn the subject while making it entertaining.,"A college teacher instructs and guides the students, or athletes, that put forth their effort, much like how athletes put forth physical effort.",6,6,5,4,7,5,4,5,4,6,2,5,5,4,5,4,5,5,5,3,5,6,2,6,5,5,NA,7,7,7,7,7,5,3,7,7,5,4,5,5,5,5,6,4,NA,72,100,2,70,90,4,NA,"The teacher is showing off a subject and is informing the students about it, who attended the class because they wanted to learn about that subject.",1,3,1,NA,2,NA,2,2,NA,18,1,NA,51,NA,NA,NA,NA,NA,NA,NA
90,2,coach,1062,A271FFXIGWROXF,1,Someone who has tons of teaching experience and knowledge. A majority of my professors have been older individuals.,A college teacher is basically a guide. A guide to what we are supposed to do in class and in our future careers.,7,6,6,7,6,6,6,6,5,7,5,7,7,5,7,4,7,7,6,5,6,7,5,5,5,6,5,6,5,5,6,7,6,6,7,7,7,5,7,5,7,6,6,4,No,80,100,2,84,75,2,NA,"I like gardening! Also, the students mind is always growing.",2,1,1,NA,3,3,3,2,NA,28,2,NA,57,No,No,0.358768347,0.090809012,0.414294599,0.757745347,1.189123444
91,2,coach,716,A12HWPFXQPITHD,1,An educator who's main responsibility is preparing students to enter into the workforce. They may or may not know what they're actually talking about depending on the school.,A college teacher is like a coach in that they provide students with a plan-of-action and instructions to improve performance.,6,6,6,7,5,5,6,3,6,6,7,5,5,6,6,7,6,6,6,6,7,7,5,5,4,5,5,4,4,5,5,6,5,5,6,6,6,3,4,7,5,3,6,4,Can't think of any.,70,90,2,92,96,4,NA,"A teacher can only show students information that is available to them but it is the student's responsibility to study, learn, and aspire. The other metaphor's suggest that the teacher is solely responsible for the outcome of student behavior.",1,2,1,NA,1,5,5,2,NA,28,3,NA,80,No issues occurred.,NA,0.020282937,0.757538088,-0.008704464,0.531673902,0.174805095
92,2,coach,667,A3ES6ZF0QWWX8J,1,A college teacher is an old man with great knowledge. They are happy to teach his students and ready to tell stories about his past to them.,"A college teacher is like a coach int he sense that they are giving their play by play to inform them on how to play the ""game""(class). The students being the athletes listen to the coach to get the best idea on how to win the game.",5,3,6,5,4,4,4,5,4,5,4,4,5,6,6,5,5,6,5,4,4,3,4,4,5,4,4,5,2,4,4,5,4,4,6,4,5,4,4,5,5,5,5,4,NA,90,71,2,82,51,3,NA,"This fits because the teach being the coach will give info on how to play and win the game, but its up to the athletes to see it through. If the athletes go on and choose their own way to play then there is not much the coach can do.",2,3,6,NA,1,1,4,2,NA,21,1,NA,59,No.,NA,-0.812993848,0.181777877,-0.616551288,-0.124832499,-0.090287721
93,2,coach,637,A2V4WIFDO4SQPX,1,"I think of an intelligent person, hopefully interesting to listen to during lecture. They are someone we can go to when we need guidance with our subject",A college teacher trains us to be the best in our field as a coach trains athletes to perform well during their sport.,7,3,6,6,7,6,7,7,5,7,7,5,7,7,7,7,6,6,6,7,7,6,6,5,5,6,5,7,5,7,7,5,4,6,7,6,7,7,7,7,7,7,6,4,NA,60,40,1,100,82,4,NA,"I like this metaphor because when taking a tour, the tour guide directs your focus to what they feel is the most important. While on the tour, there are many times when you find something not being focused on particularly interesting and expand your knowledge by branching out. I believe school is like that because teachers give us the syllabus over the main topics, but there are always other directions that can be taken and can lead to a better learning environment",2,3,2,NA,2,NA,4,2,NA,28,1,NA,19,nope,Interesting survey!,1.064061458,1.216928508,1.074031043,0.135677459,0.276892704
94,2,coach,817,A2NZ92HHM4S8IH,1,"community colleges are somewhere in between, using both teacher and professor. However, they mean the same thing  a community college teacher or professor is a trained professional who teaches students at a community college. In some cases, the word instructor is an alternative to teacher or professor.","A good coach can teach the necessary skills in a variety ways, so that everyone can get it, or at least everyone has a chance to get it. Even at the highest levels, coaches are still as much teachers as they are motivators",5,5,5,6,4,5,5,5,6,6,5,5,4,6,4,5,5,5,5,6,5,4,5,5,5,5,6,6,4,6,6,5,5,5,5,6,5,5,5,5,6,5,6,4,all are in above list,84,37,1,76,70,2,NA,"When you are planting a garden you have to take time to think about what will thrive in the environment in which you are creating for the seeds you are planting. The environment includes, the climate, the amount of sunlight, the daily temperature differences, how much water you need for your garden to grow and many other complex factors.",1,1,1,NA,1,4,5,2,NA,29,2,NA,51,None,The Study was good about teaching,0.131926828,0.014389784,0.515600141,0.012290056,0.245321981
95,2,coach,477,A27CB6JIC5MZFR,1,"A college teacher is someone who is experienced, intellectual, and comfortable speaking in front of large groups of people.",A metaphor is a figure of speech used to compare something to another. A college teacher is like a coach since they can be a mentor and teach younger generations.,6,6,6,5,6,6,6,5,5,5,6,6,5,5,5,6,4,4,5,5,6,6,5,5,5,6,6,6,5,5,5,5,5,6,5,6,4,4,5,6,6,6,5,4,No,85,81,2,74,51,2,NA,"I prefer this metaphor since the teacher is, in essence, watering the students with the knowledge they need in order to grow and become successful in the real world.",1,2,1,NA,1,5,5,2,NA,29,2,NA,61,No,No,0.011443658,0.220436854,0.396722877,0.235236373,0.140069938
96,2,coach,637,A389K8SB679GM6,1,Highly educated professional with real life experience in the area that they are teaching. College professors have a lot of life experience as well as the formal education to pass on to aspiring professionals.,A professor being like a coach makes sense. They are helping to guide you to the end goal. They help you learn the rules. Students are athletes who train for the test or final.,7,5,7,7,6,7,6,7,7,7,7,6,6,7,7,7,6,7,7,6,7,7,6,5,6,7,6,6,7,5,6,7,6,7,7,6,6,7,7,6,7,5,7,4,No,76,95,2,67,58,2,NA,"I think students growing in college is a good metaphor. They are growing in mindset, knowledge, etc. Gardnerâ€™s help the students by nourishing their brains and keeping the crud from growing around you.",2,1,1,NA,1,2,5,1,I am currently a k-12 music class,26,1,NA,4,None,No!,0.885638789,0.981747422,0.719475035,1.017427036,1.340019673
97,2,coach,480,A3FTR5MN7ZLS8M,1,I think about someone that is well-educated and mature. They are experienced in their field. I picture someone older than me.,"A teacher can guide a student through the ""sport"" of education and learning. The teacher can ""coach"" a student on the subject they are learning and point out what they are doing well and not so well.",5,4,5,6,6,5,4,5,5,5,5,5,5,5,6,5,5,5,4,4,5,4,4,4,5,4,4,4,4,4,5,4,4,4,6,5,5,5,6,5,5,4,5,4,NA,64,60,1,77,40,3,NA,This metaphor is closest to what a teacher is like because students are actively learning as compared to being active and teachers truly do coach students as they learn.,2,3,1,NA,1,5,5,2,NA,30,1,NA,14,no,no,-0.548946856,0.033572405,-0.219426505,-0.47706242,-0.176111146
98,2,coach,560,A3JSIHZSHSB1H6,1,college teacher has more expertise in teaching.  They will give you the information to help you learn more on the subject.,A teacher can instruct you as a student of learning.  They have done it before and you are still learning,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,NA,87,98,1,96,91,1,NA,the teacher can teach in many different ways and the students will be molded to the direction of the teaching,2,1,1,NA,3,3,3,2,NA,29,3,NA,89,no,no,-0.015125586,-0.031484267,0.262310077,-0.139701393,0.206975228
99,2,coach,340,AMTTB8JUWRRM7,1,They usually regurgitate information to the students in a lecture. I don't think of much creativity or interaction.,A teacher coaches the students through the process of gaining knowledge just as a coach coaches athletes through a sport.,4,3,4,7,4,4,3,4,3,4,4,3,4,3,7,4,5,4,4,3,4,3,3,3,3,3,4,3,2,3,3,3,4,2,4,7,2,2,7,3,4,4,4,4,NA,50,50,2,71,62,4,NA,I think it gets across that the teacher shows students what is out there but ultimately it is up to the student to pay attention and learn about things.,2,3,1,NA,2,NA,3,2,NA,22,1,NA,0,NA,NA,-1.511739381,-0.843059643,-1.0544247,-1.075919886,-0.657997666
100,2,coach,721,A3DA09D96OFSHY,1,"Someone who is knowledgeable about their subject, acts professionally, but is maybe somewhat aloof (depending on the subject) and not super personable.","A teacher directs students on what to learn and in what order (calls the plays) and the students run the plays to perfection, hoping to do well on the tests (the games).",3,2,4,3,7,3,1,1,1,1,3,3,5,1,4,7,4,6,1,5,6,5,2,2,6,2,2,6,4,5,6,1,1,3,5,1,5,4,4,6,2,1,7,4,No,50,65,2,93,35,4,NA,"A teacher shows students the sights and gives them a lay of the land / overview / highlights / history of the area, and the students absorb what they can. Students can ignore, or get invested and enjoy the experience.",1,3,1,NA,1,2,6,1,"I was a PhD candidate for 3 years in mathematics, and taught one course per semester while pursuing my degree.",28,1,NA,16,No,No,-1.115427367,0.137070694,0.589463895,-1.093163698,-2.61394653
101,2,coach,1077,A2852RLME6S2IX,1,I think about someone who cares about educating others.  I think of someone who is passionate about a subject and wants to teach others all about it.,"A teacher is ""coaching"" through a subject. The athlete must learn the material in this case it would be taught by the coach.",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,4,No,77,100,1,100,0,3,NA,"I prefer this metaphor because a teacher is like a coach in the sense that they can only do so much. They will provide the knowledge and answer any questions for clarity, but it is ultimately up to the student to actually make use of it.",2,3,6,NA,1,4,4,2,NA,26,1,NA,0,No,No,1.363182631,1.402552274,-1.852851239,1.578335909,-1.371881672
102,2,coach,624,A38CPP9XTKPFRI,1,"A person who is down to earth, but may also take his or herself too seriously. I think they overall want to change the world, which is awesome, because they do.","A teacher is leading a student to their victory. When players are on a team, their goal is a victory. Teachers are the coaches or leaders who show them how to win the game and reach their goal/victory.",5,5,6,6,7,5,7,5,7,7,6,7,7,4,7,6,5,7,5,5,5,7,5,4,3,4,4,6,5,3,5,6,5,5,6,6,7,6,7,7,7,4,7,4,Not that I can think of. I think they were all there.,89,59,1,89,86,4,NA,"This is because teachers show students new things. When we are touring somewhere, usually it is because we donâ€™t know anything about it. Thatâ€™s why teachers are the ones who show the students new places.",2,2,1,NA,1,2,4,1,I have been a supplemental instructor. This means that I helped the primary professor within remedial English courses.,30,1,NA,0,No,No,0.375068592,0.545953764,-0.192867955,0.651533847,0.634676883
103,2,coach,417,A2I4PRZ9IZMKON,1,College teachers are mentors who help prepare you for life.  Their job is to help prepare you for the real world.,A teacher is like a coach because coaches teach and mentor their athletes and prepare them for what they need to do.,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,7,7,7,7,7,7,7,3,7,4,No,84,50,1,100,100,1,NA,I prefer this metaphor because teachers help mold students into the professional they will be just like a sculptor. I had many teachers who helped mold me to be the special educator that I am.,2,3,1,NA,1,5,6,1,"I have been a special education teacher for 8 years at the elementary, middle, and high school levels.",29,1,NA,7,No,No,1.420510905,1.156096211,1.383909382,1.449542479,0.79593671
104,2,coach,836,A1PYK3QS7O93XA,1,The first thing that comes to mind for me is an intelligent person who knows a lot about what they are talking about to a great extent. They are also very good at explaining it to people who likely have no background or knowledge of said topic.,"A teacher is like a coach because they basically guide students to knowledge, just as a coach leads their athletes to skill and success. Students are like athletes because they must listen to their respective leader in order to succeed at their goals.",6,7,7,5,7,7,6,4,5,3,6,7,7,7,7,7,7,7,5,7,7,5,5,5,3,6,7,7,7,7,7,1,1,3,7,6,7,2,7,3,6,6,7,4,I can't think of any at the moment.,70,85,2,90,20,1,NA,"I think I prefer this metaphor due to the visualization and accuracy I felt I got from it compared to the others. When I saw the word ""sculptor"" it made me think of sculpting minds which is basically what teachers are doing. It fits what I've experienced from a few teachers in that the teacher basically gives students the power to think for themselves, just as a sculpture can be open to interpretation.",1,3,1,NA,3,4,3,2,NA,27,4,not political,50,Nope,Nope,-0.17435063,0.960096162,1.536825942,1.031700876,-1.946304887
105,2,coach,405,A1X75VWD5MSNIK,1,I imagine an individual who once worked in the field they were teaching and is now trying to spread their knowledge to others.,A teacher is like a coach in that they coach students on how they can become better at their profession.,7,4,7,7,7,7,6,6,5,7,7,7,7,7,7,6,7,7,7,6,7,5,6,6,7,6,6,6,4,5,5,6,6,7,6,7,6,6,7,7,7,4,6,4,None.,90,40,1,90,90,4,NA,"This metaphor shows that while teachers are fundamental in exposing students to new ideas, they cannot force the students to learn. It is up to the student to explore and study the subject matter in their own time as well.",1,2,4,NA,1,2,5,2,NA,23,1,NA,0,None.,None.,0.594932493,0.989639668,-0.003644852,0.847921257,0.866031318
106,2,coach,508,A98P6ZBAHA4C5,1,"I think of polar opposites - college teachers I had that were really good and dynamic and engaging, and then others who just lectured the entire time and put the class to sleep.",A teacher is like a coach in that they're motivating you and training you and helping you get better in a certain subject. Students are like athletes in that the teacher/coach is their leader and they look to them for direction and instruction.,7,5,6,5,5,5,6,3,1,3,4,6,7,1,5,7,5,7,1,5,6,5,2,3,3,1,5,7,3,6,7,2,1,4,7,5,6,1,5,7,5,3,7,4,NA,75,76,2,50,75,2,NA,Plants absorb water and nutrients from the gardener. The gardener provides the resources for the plants to grow and mature. I just like this metaphor better than the coach/athletes one because it makes me think about growth and learning to me is all about growing.,2,3,1,NA,1,4,5,1,I taught 7th grade English through Teach for America for 2 years after I graduated college.,26,1,NA,0,NA,NA,-1.254551379,0.560666538,0.780481291,0.448338514,-2.082161837
107,2,coach,505,A2LPP288NK76W4,1,A teacher that does this as a hobby and for the money compared to the non-college teacher who do it for the students. They also more knowledgeable but less sympathetic,A teacher is like a couch because like a couch the teachers want the students to do well and they are a teach where like the coach they are there to make sure they are prepared.,4,4,3,4,4,6,6,7,4,4,6,6,4,4,6,5,5,6,4,2,4,4,3,5,3,4,3,6,3,5,7,6,5,3,6,5,6,1,4,5,6,6,4,4,NA,60,40,1,45,55,3,NA,Because the teacher influences the students to get out of their comfort zone and actually learn the material. They also discipline them and give them support for what they need. They want their students to their best and work for the entire classroom just like a couch and athletes would want.,1,3,6,NA,2,NA,3,2,NA,20,1,NA,0,NA,NA,-1.751583586,-0.006103771,0.517275174,-0.831016743,0.414924322
108,2,coach,543,A18W4JCJW0D04G,1,"Someone that either loves their work, or hates it. They're also a no nonsense person for the most part, and are extremely rigid.","A teacher leads you to victory by telling you what to do (or what to learn). You may no always win, but what they taught you will always remain with you.",7,6,6,7,7,6,5,5,7,6,7,7,7,7,6,6,6,6,6,4,5,6,5,5,7,6,6,6,7,3,5,4,7,5,7,5,6,1,6,7,6,6,6,4,Tough on students,100,100,1,90,100,3,NA,"I like it because it's a fitting saying. A teacher will teach their students what they need to do, and know, in order to achieve an ultimate win (graduating college).",1,3,6,NA,2,NA,4,2,NA,26,1,NA,10,None,Good survey,-0.666603541,1.040056602,0.07980121,0.733363751,0.613034785
109,2,coach,477,AO6B0VEVBGGAP,1,A college teacher works hard with little pay.  Teachers in the US don't get paid enough for their work.,A teacher mentors the students by conveying ideas and perspectives.  Students are like athletes in that they go to class and train their mental agility.,6,6,6,5,6,5,5,6,7,5,5,5,6,6,5,7,NA,6,6,6,5,7,6,5,6,6,6,6,6,7,5,6,6,6,6,7,6,6,5,6,5,6,4,4,NA,70,81,2,48,44,2,NA,Teachers plant the seeds and it's up to the students to develop the ideas and grow into their own.,2,3,1,NA,1,2,5,3,na,24,3,NA,100,na,na,0.74330578,0.844069594,0.965708128,0.553388692,0.584741601
110,2,coach,517,A22DL4DE4DYB0,1,"Someone who is middle aged and generally is open minded and has somewhat liberal views. Also, I think of a college teacher as someone who can command a room.",A teacher prepares his or her students to perform well just like a coach does for a game. A teacher and coach both want the best for their pupils.,7,7,6,7,7,4,5,3,5,6,6,7,7,7,7,7,7,7,6,4,6,7,4,4,6,4,5,6,6,6,7,3,4,5,7,6,6,5,5,7,5,2,6,4,NA,70,100,2,55,50,2,NA,"A teacher can present the material and subject matter for the students to learn, but it is up to the student to take what is presented and want to learn from it. This is much like a gardener giving water to plants, some plants may end up dying.",1,3,1,NA,1,5,5,2,NA,27,2,NA,23,None,NA,-0.102565954,1.419805892,0.906399501,0.738596035,-0.585589949
111,2,coach,370,A1E8PIR82KIJEP,1,A professor. Someone with a PhD. Authority. They had to survive academia to get to where they are standing today.,A teacher recognizes the potential in a student using their advanced expertise and draws it out optimally,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,7,7,7,7,7,7,7,7,7,7,4,NA,68,41,1,83,50,2,NA,"A teacher can make-or-break a student's interest in a topic. No one is born interested in understanding monetary policy in developing nations the way you might be interested in art history or painting or music...but a teacher can give you that interest. Like how plants need a gardener to become really beautiful, a teacher can make our minds beautiful.",2,3,4,NA,1,1,5,1,Private English tutor to ESL students,22,1,NA,9,NA,NA,1.426358135,1.239768882,1.27270413,1.355212203,-0.193485748
