Finished,worker,Q93,teacher_thoughts,memorycheck,favorite_metaphor,favorite_metaphor_5_TEXT,Metaphor_justify,gender_1,gender_2,gender_3,gender_4,gender_4_TEXT,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_7_TEXT,college,College-longago,education,teachexp,experience_free,age_1,political,political_4_TEXT,lib_cons_1,Q92,Q93_1,condition,metaphor_think,teacresp,studresp,tvs,inflearn,infdevelop,metaphor_other,care,needs,gettoknow,stimulate,respect,authority,rules,expectations,communicate,holdattention,personable,community,knowotherstudents,support,teamwork,adapt,discussion,debate,question,confident,attchk4,GotPaid,pa2_nurterer,pa3_authority,pa1_communitybuilder,pa4_engagingcommunicator,pa5_stimulator
1,A16020LLLA6BI7,1,I think a college teacher would be someone who instructs introductory classes. A college professor would be someone who instructs more advanced  classes.,3,3,NA,It makes it seem like the students already have the potential to be at their best and learn the material. The teacher is just providing them with the tools and guidance necessary to learn.,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,6,1,I was a teaching assistant for the electronics labs during my graduate school. I would teach how to perform the labs and answer questions about them or any other questions about the courses.,26,2,NA,50,NA,NA,coach,"The students have the skills necessary, the teacher is just guiding them to the right answers. It's more about how the teacher helps the students arrive at their full potential.",68,96,2,82,87,No this fits it well.,6,6,6,6,7,7,7,7,6,6,6,6,6,6,6,5,7,5,4,6,4,1,0.502267942,1.164865792,0.892868291,0.717109836,0.453163929
1,AIZZUY91QP09S,1,"When I think of college teachers, or professors, I think of words like intelligent and wise. They have studied long and hard to get to the point where they are in the position to teach others about their ""expertise"".",1,3,NA,"I think students are more like athletes because they come into the teacher's classroom with their own set of habits and ideas on what to do and how to succeed. Teachers are like coaches because they get to map out how the students are going to learn a certain subject (i.e., lesson plans, methods), however, although influential, teachers do not completely shape the students.",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,5,2,NA,26,3,NA,78,no,no,sculptor,"College teacher shapes and molds how a student learns, or how they perceive certain things, or how they go about solving a problem.",75,25,1,78,65,Teachers influence students' opinions,5,5,3,4,5,4,5,4,5,3,4,4,3,3,2,2,2,2,3,5,4,1,-0.8149513,-0.503273822,-1.096324388,-0.617313448,-1.384921114
1,A3VBBMDQ61N1L,1,An experienced teacher. One who has a lot of knowledge and is able to share that knowledge in an understandable way.,3,2,NA,I like this metaphor because it places responsibility on both sides. The teacher can only water and cultivate the plants but the plants themselves have to be the one to grow. Students have to be open to learning and work at that regardless of how much a teacher tries to teach a student.,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,5,2,NA,24,3,NA,100,No issues.,Great survey!,coach,"A teacher is equipping his students to go further and do more than the teacher was able to do, just as a coach teaches and equips his athletes to do what the coach can not do.",90,87,1,94,91,A teacher encourages his students.,7,6,7,7,7,7,6,6,5,6,5,6,6,7,7,7,7,4,2,7,4,1,1.129622644,1.007237132,1.244162687,0.495241871,-0.072252788
1,A3EKMP3EYTB19C,1,"College teacher some are good and look out for the students to try and help them in class and in the workplace. Others can be cold and don't care to fail a person, even if they are trying their best.",2,4,NA,I feel more connected to this because a tour will guide the tourists down a certain path and it is up to the tourist/student and go the same way or veer off and go on their own path,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,5,2,NA,24,1,NA,50,No,No,gardener,"Without the gardener the plant will not grow, people go to school to grow as a person and in their career/future career",75,89,2,73,72,NA,6,5,4,6,6,5,5,6,5,6,5,6,5,5,6,6,6,2,5,6,4,1,0.247099599,0.417101045,0.498144654,0.260052354,-0.511427088
1,A2WPKP73S4MBLK,1,"An individual that is exceedingly well-versed in a particular field of study. This individual is, more often than not, seeking to impart their wisdom to others.",4,2,NA,"It best conveys the sense that teachers, ideally, will nurture the growth of knowledge and ultimately self-worth in their students, encouraging said students to flourish. This is similar to how gardeners encourage their plants to grow and flourish.",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,5,2,NA,28,1,NA,0,No,This was an interesting and thought-provoking study.,tourguide,"A college teacher, like a tour guide, can often point out notions and philosophies and ideas about a particular subject, but each student (tourist) will ultimately have their own viewpoints on the subject.",65,35,1,60,35,No,5,5,5,7,5,7,5,4,7,7,5,5,4,4,6,3,5,4,4,6,4,1,-0.363471882,0.218211536,-0.011363406,1.084969482,-0.195806779
1,AEAH80A16IYUQ,1,"I think about someone who is older and somewhat secular, with a lot of experience working and teaching in different atmospheres.",3,3,NA,I think it correctly represents how teachers guide their students into performing more efficiently and how students learn from their teachers.,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,5,2,NA,25,1,NA,1,No,No,coach,"Students are there to learn from college teachers who have experience, similar to how athletes learn to perform better from their coaches.",68,42,1,70,60,N/A,5,5,6,5,4,4,5,6,6,5,4,5,5,7,7,6,4,4,4,4,4,1,0.323163878,-0.478708049,0.987322033,-0.298854255,-0.263451347
1,A2IAPSVP9CMXWY,1,I think of intelligent professors and lecture halls. I also think about them having done years and years of research or other forms of dedication and demonstration of expertise in their respective fields.,2,3,NA,"It gives the students agency in their education, but assumes that the professor will give the students the tips and tricks to be successful in gaining knowledge in their course.",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,20,1,NA,0,no,no,gardener,"A college teacher is a gardener because they have to tend to the plants, e.g. students, by giving them knowledge and tools for success for the plants to grow/students to gain knowledge.",86,54,1,87,91,n/a,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,1,1.398962883,1.313988456,1.423112789,1.416256016,1.420036147
1,A2JWGUGNVDPBAO,1,"Characteristics like educated, does well with explaining, patient, professional, and organized. Honest with progressive ideas and passionate about their fields.",1,2,NA,"Yes, it fits my experience. The student must be nurtured intellectually to grow as pupils, like a flower.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Biracial,2,NA,5,2,NA,23,1,NA,0,NA,NA,sculptor,"Clay, like students, has the potential to be something great and new, but it takes a sculptor (or teacher) to uncover it.",73,29,1,83,80,No,4,4,5,5,2,6,3,4,5,3,3,4,5,5,5,5,5,6,6,6,4,1,-0.395687082,-0.804934494,-0.01788073,-0.770581609,0.632781897
1,ABQ00ALZJVLYT,1,Usually someone who is pretty nice and helpful while also being somewhat strict. They are usually smarter than teachers you find in highschool or middleschool,4,2,NA,"I like this because the teacher will help plant the seed and ""water"" use for success but every plant turns out different but a plant cant grow without the help from the gardener",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,21,2,NA,51,NA,thanks,tourguide,They guide students to information and help guide them through the journey of college and learning because they know most these thigns already,93,95,1,99,73,NA,5,5,5,6,5,6,7,6,6,5,5,6,5,7,7,6,6,6,5,6,4,1,0.193127711,0.514552801,1.036238526,0.27239179,0.775325728
1,A32TJJ8DKTTWUT,1,An older man wearing some business casual clothing. He has many years under his belt in the field of study that he is teaching about.,1,3,NA,"A coach can only do so much. The athletes are the ones who have to perform, not the coach. Much like the coach, the teacher can only do so much. He can guide, but he cannot do the actual performing. And much like the athletes, the students can receive guidance, but they are ultimately responsible for their performance.",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,21,3,NA,100,Nope.,It went smoothly.,sculptor,The college teacher knows how to make something basic into something great. The students being clay show how they can be molded into something great with the right work done.,51,33,1,90,95,Nope.,3,6,6,3,2,5,5,6,4,5,2,2,2,2,2,4,1,2,2,5,4,1,-0.29278173,-0.609341409,-1.678553136,-1.200001825,-1.550962917
1,A2S2XDI50LCWN7,1,"Intellectual, professional, and well educated. As leaders of the classroom, they are responsible for the students academic growth in their particular arena.",2,3,NA,"I think the college professors that I have had mostly fall under this metaphor. The previous metaphor, ""Teacher is the gardener; students are the flowers"" holds a passiveness from the students. On the other hand, this metaphor with the ""athlete and coach"" illustrates the mutual effort that occurs within the relationship. The coach guides the students, but the athlete is the one who ultimately does the work to get better. This embodies the relationship between professor & student.",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,22,3,NA,91,Nope!,Thank you!,gardener,"An effective college professor can stimulate growth in his students. In this metaphor, the gardener watering the flowers represents the college professor teaching the students.",89,9,1,94,82,Mentorship possibly,7,7,6,7,4,5,3,3,4,3,5,3,3,2,3,6,3,3,2,2,4,1,1.096464046,-1.33198282,-1.143329448,-0.927954692,-0.986562422
1,A35NEIPY91AVI3,1,"I think about someone who is dedicated to the advanced education of those willing to partake in it. A college professor is someone who is knowledgeable, caring, and who strives to be at the forefront of their subject.",4,2,NA,"I chose this metaphor because the responsibility to grow and become better lies mostly with the student. The plant receives care and nurturing from the gardener, but it is not solely on the gardener to make the plant grow.",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,3,2,NA,21,2,NA,0,no,no,tourguide,A teacher in this case is someone familiar if not an expert on the subject. They give a thorough explanation of the subject to people who may have never seen or experienced the topic in question.,25,80,2,50,50,No,6,4,4,5,4,3,5,7,4,5,4,4,4,5,5,4,5,5,5,4,4,1,-0.252495797,-0.466789241,0.092191833,-0.851206672,0.238460663
1,AYJDIMKGMGCF9,1,What comes to mind for me is someone who puts in a great deal of effort to make their job and their students successful. I also think about someone who is either very professional or very casual in their job setting.,2,3,NA,"I think that this metaphor places more responsibility on the students rather than 100% of the responsibility on the teacher. The students need to put in just as much work, if not even more, than the teacher to determine their success.",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,4,1,I am a preschool teacher.,22,1,NA,10,NA,NA,gardener,"To me, this means that the teacher is doing everything they can to help their students be successful. They are sowing the seeds and providing water and sunlight to allow their ""plants"" to grow and flourish.",75,100,2,75,50,Teachers often put their students' needs before their own.,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,1,1.400192137,1.143473191,1.44754432,1.405486645,1.441325004
1,A3CGA66ES1ZTKC,1,Someone who teaches a very specialized part of a greater subject. The greater subject is often the persons major and one teacher often gives one or two courses that are small parts of what makes that major.,3,4,NA,"Because the students will have to listen to the advice the teacher gives but still has to shape their own life, a coach often is more involved in life as giving sleep schedules, eating schedules etc. a teacher just gives the information and helps you when you ask but you have to it yourself.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,5,2,NA,24,1,NA,33,no it was all very clear thank you,n/a,coach,"Well they are teaching and coaching the students to get the best out of themselves. 
They teach a new skill they have more experience with to people who have less experience with that skill which is what a coach does as well.",70,81,2,70,76,Teachers encourage students to teach one another.,6,5,6,7,5,6,6,6,7,7,5,5,7,6,6,6,6,5,4,6,4,1,0.519230971,0.415967243,0.83120629,0.958133663,0.35143942
1,A22TFIMXS7UFDO,1,A person who has gone through a great deal of time and effort to get where they are in life. They have gone through a number of hardships and experiences.,2,4,NA,"In college, the professors/teachers are mostly hands off. Most of the time, they have to deal with a large number of students every day. A teacher is like a tour guide because they are showing a large number of students/people what there is to be learned. We, the students, are like the tourists because we are simply listening to them. It really depends on us, the students, if we want to pursue more into the topic or just listen through the lecture.",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,3,2,NA,18,1,NA,15,N/A,Love this study! I've always been fascinated with the topics of different teaching styles.,gardener,Students are like plants because we are still growing. Our teachers are our gardeners because they help and provide us the right tools to help us grow.,40,100,2,100,40,N/A,3,3,5,5,4,5,6,5,6,3,4,5,5,5,5,5,5,4,4,5,4,1,-0.810576938,-0.22409977,0.225206157,-0.382624949,-0.066448734
1,AM4PAC2YQPREB,1,an educated professional in the subject trained to impart his knowledge to the young generation in addition to a person who can be entrusted with your time,1,2,NA,Because plants require a lot of care and come in many forms it is the duty of the teacher to treat and take care of each one of them in the correct way and grow them all to their maximum fullness.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,2,3,1,giving workshops to a group of 5 or 4 people and helping my friends to study.,22,1,NA,0,none,no,sculptor,"who is a teacher uses his knowledge and experience to sculpt new students even inexperienced and without ""form""",100,100,1,80,100,no,5,7,5,7,7,6,7,1,7,7,7,7,1,7,2,6,5,5,6,7,4,1,0.636079338,0.212500746,-0.471874046,1.726504223,0.224162186
1,AVGVRUR3D7U37,1,"College professors are very smart and intelligent. They have good knowledge about their subject. They are very helpful and caring. They also encourage you really good. Most of them are really good but some of them aren't good. When some of the professor teach you , they really go in depth of the topic and make it more interesting to learn. In some classes we just take a small nap while they are teaching. They all are helpful.",2,3,NA,A coach should be always encouraging  and motivating. He encourages you to practice more and learn more. It is the same way a teacher does all of it work to bring out the best from students.,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,4,2,NA,20,1,NA,0,NA,NA,gardener,"I am pursuing my degree in Electronics and Communication , when I started my degree I had to learn all the basic in first year. I just chose a degree  to learn  , but professor are the ones that are going to teach me from the basics . If they  don't make it interesting to learn , I will never be a good engineer. Basics of every subject are very important to learn , it is basically like giving nutrients and water to plant in order to grow.",100,39,1,95,30,NA,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,1,1.248185656,1.190531717,1.372693182,1.395635159,1.446966691
1,A3A6C8329VTSN7,1,A college teacher is someone who has made a career out of their knowledge in a particular field. They impart that knowledge onto students and if they are good teachers they will explain to them how they can use that knowledge to succeed in life.,2,3,NA,"I think teachers are not entirely responsible for students' success in college, but rather they are coaches that should provide guidance.",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,3,2,NA,23,4,No affiliation,50,No issues,"No concerns, thank you for the good pay",gardener,"This relates a lot to how I described teachers. Taking care of plants requires thought and attention, and just pouring any random amount of water on them won't automatically make them grow.",66,85,2,82,83,NA,5,5,5,6,6,4,5,5,5,5,5,6,6,5,6,4,5,5,5,5,4,1,-0.173636645,-0.118387256,0.640039659,-0.023304159,0.353396889
1,A2B5F0ZCOFXWUF,1,College teachers are usually much more honest about post-grad life and they are also more realistic than K-12 teachers.,1,2,NA,"Although teachers are responsible for helping students grow, the students have to be willing and ready to grow. Teachers can water talents but they can't create the talents for them.",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,22,1,NA,8,NA,NA,sculptor,"Teachers are responsible for essentially molding students into professionals. The wrong teacher can change the course of a student's academic career. Similarly, a good teacher can help take a student above and beyond.",89,37,1,80,84,NA,5,4,5,7,5,5,4,5,4,5,4,5,5,6,5,5,5,6,6,4,4,1,-0.078901004,-0.341676426,0.336935862,-0.631939036,0.706465521
1,A3HPH7BNI1OTG3,1,"a very over worked professor who loves their job but hates it at the same time. who puts lots of hours into research, putting together classes and so forth only to sit and grade papers all night while their family does other things.",2,2,NA,because teachers are responsible for showing students the initial information if the student doesnt decide to use the information to further themselves they wont learn from it and wont grow just like plants sometimes do not grow.,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,4,2,NA,28,2,NA,50,no,no,gardener,"a teacher is similar to a gardener because they put time into the students, they water them, they feed them information, they make sure they grow accordingly. and the students only job is to take in the information and to use it to grow themselves.",82,51,1,100,0,NA,6,5,6,7,6,6,7,6,6,6,6,6,6,6,4,4,6,4,4,6,4,1,0.248215396,0.69675838,0.48270466,0.817017733,0.018826067
1,A38G96U9JZU3CW,1,I suppose what comes to mind is a person who's very knowledgeable about a topic and has specific plans on how to share that knowledge.,3,2,NA,I like it for how it paints a picture. The teacher sews the seeds of knowledge and helps to nurture the plants over the course of a period of time.,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,4,2,NA,28,2,NA,60,NA,NA,coach,"Coaches and teachers each have a set plan or ""game plan"" and the students are subject to following those goals.",70,60,1,90,85,NA,6,NA,6,6,6,7,6,7,5,5,6,6,6,6,6,5,5,3,5,6,4,1,NA,NA,NA,NA,NA
1,A234UW0G9PMSCC,1,can make or break the college experience for a student. Deciding factor if a student will be engaged in class,4,4,NA,The students are responsible to retain the information but the teachers are tasked to present the information in a way that the students will be interested enough to learn,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,25,3,NA,67,no,no,tourguide,"The teacher is responsible for presenting information and material to the students, the teacher decides how it will be presented",88,16,1,100,31,NA,2,2,2,6,2,6,4,7,6,6,3,4,2,2,2,2,2,3,5,3,4,1,-1.757955544,-0.438547557,-1.597628077,-0.399440949,-0.843383921
1,A2RDAKQ44MG3PX,1,Someone who is smart and knows what they are doing. They enjoy helping others succeed. They have a good heart.,4,4,NA,I think that this is a great example because it covers a lot of different areas. They are easily relatable and makes the most sense.,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,4,2,NA,24,2,NA,50,I did not.,Good survey.,tourguide,The college teacher would be like a tour guide because they would be showing the students information and how to do things. The students would be like tourists because they are listening and gathering information.,90,50,1,73,63,Nothing comes to mind.,5,5,4,4,5,5,4,4,5,4,5,5,3,5,4,4,4,3,3,5,4,1,-0.320909205,-0.48730357,-0.242470972,-0.273494052,-0.838899257
1,A3SZ4PYEEHN8SZ,1,"I think they are very knowledgeable. They are also probably people who have lots of experience. Most likely, they are pretty serious in their field and do lots of research on the side.",2,2,NA,"I like how it is a nurturing metaphor. The gardener will allow the plants to grow, but it is the plants that need to put in the effort to take that care from the gardener and grow through it. The plant needs to take the initiative just like students.",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,3,1,Tutoring in school,21,1,NA,13,NA,NA,gardener,The teacher tends to the students and grows their minds to become more knowledgeable just like how a gardener tends to plants.,100,41,2,92,86,NA,7,6,6,7,1,1,1,1,4,6,2,6,5,7,5,6,1,1,1,5,4,1,1.080663666,-2.612083551,0.50847606,-0.498533105,-2.047614808
1,AA9A1N3MLWMNF,1,"I usually think about someone who is very strict or someone who is laid back. With my current experience, I feel like either a teacher is very prepared or not even close.",3,2,NA,"I chose this metaphor because, with plants, you can provide all the water to them, but they grow and become more independent. Students get to choose whether or not they will take the influence from their teachers and apply it into their own lives.",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,19,3,NA,66,no,nope,coach,"A teacher will lead its student to victory in academics, such as a coach leads his team to a physical win.",91,83,1,100,89,NA,7,6,6,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,5,7,4,1,1.119109257,1.078785058,1.431568596,1.262057771,1.205002832
1,A32H9IIKMED1VW,1,"Someone who has devoted their life to knowledge and research, and teaching students that same information.",1,1,NA,"Well first of all, no matter how much a student wants to learn (or in this metaphor, no matter much they want to be a fancy statue), unless the teacher (sculptor) has the required knowledge and ability to teach (sculpt), the student cannot reach their goal.",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,3,2,NA,24,3,NA,78,No,"No, but good survey.",sculptor,"A student's open mind is the clay, and it is up to the sculptor (teacher) to be able to use that open mind to sculpt them into perfect students using the knowledge they've gained.",100,100,1,100,100,NA,4,7,2,7,4,7,NA,7,5,7,5,1,3,1,1,7,2,3,4,NA,4,1,NA,NA,NA,NA,NA
1,AGAZHO3EER6J0,1,A wealthy scholastic and academically based teacher. One who goes by the book and can only teach what he is told not what he believes or has experienced.,2,4,NA,Because a teacher is supposed to guide and show the students different paths and the student is supposed to have enough information to make educated decisions about the path they want to take in life regarding their life and career.,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,1,3,1,I homeschool 3 children for over 5 years.,28,4,none,39,no,no,gardener,A teacher guides and pruned the student to gain the knowledge they need to succeed just as a gardener prunes and helps the plant along until it blooms.,97,95,2,97,84,no,6,6,6,6,6,6,7,4,7,7,7,7,7,6,5,6,7,7,7,7,NA,1,0.637555569,0.499989011,0.835462817,1.547868673,1.378871776
1,A2GJYB46FWIB5Q,1,Some are smart and genuinely care about what they're teaching and will help you succeed all the time. Others are kind of arrogant and tend to bash their students because they think they're know-it-alls.,3,2,NA,"I think that a teacher should get to know their students and tend to their needs as a gardener would tend to different types of plants. For example, a gardener would not tend to their apple trees the same way they would tend to their rose bushes. Rose bushes require special care and tend to require more meticulous detailed attention vs apple trees that do not. Just like there are some students who learn differently and participate differently than others.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Caribbean,1,3,4,2,NA,24,2,NA,45,"No, I did not.","No, I do not.",coach,"A coach is constantly pushing their athletes/team to do better and become better at what they do, just like a teacher is constantly pushing their students and teaching them to become better at what they do.",100,90,1,100,95,Teachers can be a bit unfair sometimes,5,5,5,7,7,7,5,6,7,6,6,7,7,7,7,5,7,6,6,7,4,1,0.078887439,0.969976709,1.328259167,1.147362184,0.995992506
1,A37A6O56BI5WO0,1,"An individual with vast knowledge in a specific field. In addition, this person often has a significant amount of work experience to support the knowledge.",3,3,NA,I was also an athlete growing up. I feel that the coach/ teacher provides you with the basic fundamentals/technique/knowledge and it falls on the student/athlete to further develop and practice to build upon the foundation.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,5,2,NA,25,3,NA,82,no,n/a,coach,Just as a coach teaches an athlete the fundamentals of a sport. A teacher provides a foundation of knowledge.,50,50,2,70,50,"no, I do not.",5,5,4,7,5,5,6,6,6,5,5,5,6,4,5,5,5,5,5,6,4,1,-0.058803261,0.272734618,0.087008045,0.329758383,0.413269351
1,A1Q3MQ8WVTWQ35,1,Someone who is paid by a university to present specific material to matriculated students. Usually teaches a specific subject based on their expertise.,1,3,NA,"A coach is meant to provide some guidance but does not do all of the work like a sculptor would.  College teachers should provide guidance but are not solely responsible for students' learning.  Students are more like athletes because they have to work both on and off the field to achieve what they want to, ie not always working with the coach. Saying students are like clay insinuates that they aren't responsible for their own learning.",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,6,1,"Laboratory teaching assistant for an undergraduate biology course (taught two sections each week). Graduate teaching assistant for a toxicology course (assisted with class setup two times per week, taught one lecture)",24,3,NA,65,No issues,Great survey.  Very fun to complete!,sculptor,A college teacher is like a sculptor because they are attempted to transform and mold the clay (students) into a better shape.  The students are being transformed via the information they are being taught.,72,28,1,89,82,NA,5,6,5,7,6,7,6,6,5,5,5,4,3,3,3,5,3,3,4,6,4,1,0.249525003,0.772149218,-1.014995045,0.044664182,-0.661805171
1,A3I5NNBOOXJE8L,1,I think of someone who may have a high intelligence and is very knowledgeable about the subject that they teach.,1,1,NA,"I feel like it is the most metaphorical, while also telling of what teaching should be all about. The learning is mostly in the hands of the teacher, and if the teacher doesn't shape the students the right way then they won't learn anything.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,3,2,NA,19,1,NA,10,NA,NA,sculptor,"Students don't yet have the knowledge that they need in the subject, and it is up to the teacher to guide the students' learning just like a sculptor will use their hands to guide the way the clay is shaped.",91,10,1,95,61,Teacher's decide what lessons are most important,6,5,5,7,2,5,3,4,5,4,4,3,2,1,2,5,3,2,5,5,4,1,0.264193394,-1.018057339,-1.758294556,-0.412351598,-1.029863518
1,A2UGHE0DA7OLOK,1,"A college teacher has a good job, one that I considered pursuing one day but I'm turned off by the required schooling. Nothing else really identifies them all, I had professors that I really liked and others that I didn't. They were very unique from one another because they have the power to do as they please.",2,3,NA,I prefer this because teachers are usually experts in their subject and are trying to transfer some of that knowledge (or skill) to their students. They give them tasks/homework (practice) to improve and test them on their knowledge (games).,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,5,2,NA,24,3,NA,80,No,No,gardener,"I disagree with this one. What comes to mind initially is that a gardener really cares about and has to take care of their plants which I don't think translates. In the sense that they help students grow, I could agree.",95,5,1,95,95,Teachers help their students grow,7,7,7,1,1,2,1,2,2,1,4,2,1,1,1,7,1,1,1,2,4,1,1.151258677,-2.916976776,-1.908717687,-2.373639245,-2.220364087
1,A25R3QTJ643L5A,1,When I think about college teachers I think of a sensei or one of those wise old men in movies that give wisdom to the main character,2,3,NA,"A coach gives his athlete individualized attention, feedback and advice, and training so that the athlete can improve physically. A professor does the exact same things to help students improve intellectually.",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,3,1,"I've taught math and english to middle school students back in high school, and I am currently teaching robotics to middle school students.",19,1,NA,40,No,No,gardener,Gardeners help plants grow in a physical sense. Teachers help students grow in an intellectual sense.,40,60,2,80,40,NA,1,6,5,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,4,4,1,-0.618119642,-2.90630733,-2.296823031,-2.941983275,-1.900695272
1,A2YMYZEU8TDPDJ,1,"When I think of a college teacher, I think of an old professor that looks like Albert Einstein giving their lecture on a blackboard with chalk.",4,3,NA,"I prefer this metaphor because it explains teachers as more of a support figure instead of one that leads. The metaphor implies that students also have to do work, alongside the coach's support.",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,3,2,NA,19,2,NA,50,No.,No.,tourguide,A teacher is similar to a tour guide because both occupations require guiding and teaching a group of others.,85,45,2,60,35,NA,4,2,4,5,4,5,3,5,6,5,4,3,3,4,5,3,2,1,1,5,4,1,-1.26797895,-0.541106375,-0.489756364,-0.14914058,-1.844581345
1,A3D8P7RA8RKE69,1,"When I think of a college teacher, I think of a professor who is very educated. Someone who has been through a lot of schooling.",4,3,NA,I chose this metaphor because it is the most relatable to my life and views. I see a college teacher as someone who creates ways of teaching to transfer information to students most effectively.,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,4,3,2,NA,26,2,NA,50,no,no,tourguide,A college teacher would be like a to students by guiding and teaching them on their journey of gaining knowledge. Students are like tourists because they look at the teacher with a blank mind ready to learn everything about what they are seeking.,70,90,2,95,3,no,5,4,2,6,5,5,7,4,4,6,4,5,4,5,4,4,3,3,4,6,4,1,-0.720187011,0.161210757,-0.271966343,-0.150746565,-0.655673407
1,A19CLQ1FP2HK2T,1,"The first words that come to my mind are expert in their field, knowledgable, respectable. Often they are good at research and can be mentors for the students they teach.",4,4,NA,"Out of all the metaphors listed this one gave the most agency to students. However, I don't think this completely fits my experience with most of my college professors.",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,5,2,NA,25,1,NA,7,no,none,tourguide,"Teachers guide students in the tour of education. Teacher represent tour guides because the guide students learning, while students are like tourists in the sense they are exploring new ideas and experince through their college  education.",71,61,1,72,72,not sure,4,3,3,3,4,6,5,3,3,4,6,4,3,5,4,3,6,6,6,5,4,1,-1.302782663,-0.500750472,-0.353275866,-0.713961174,0.769951384
1,AC79XT2Z4O3JZ,1,I think about someone who is either experienced and old school or someone who is new to being a professor and can relate to students more.,3,3,NA,I believe a good teacher can influence a student to take classwork to the next level and achieve high grades by motivating and connecting with students like a coach can motivate and drive a team to success. I have had good and bad teachers and the good ones have always been much easier to learn under and i enjoy working for them more.,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,25,2,NA,30,no,no,coach,A teacher is like a coach because they train the students like a coach would his players by making them remember information so they can be prepared for a test.,70,90,1,80,80,A teacher prepares students for the future.,6,5,6,6,7,6,7,7,6,4,5,7,3,3,6,5,7,3,2,7,4,1,0.192751496,1.115084942,0.186803121,0.429887291,-0.494498021
1,A3BX9C1WRT7M4V,1,Someone who likes to help others and share their knowledge. Someone who is patient and likes to help others.,1,4,NA,Its more of the student has some part in learning as well and its not just up to the teacher.,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,West Indian,1,1,4,1,I use to teach ESL to students online.,26,1,NA,57,no,no,sculptor,"It means the teacher has the ability to structure the student, to determine what the student learns and the way they learn and what they learn.",97,65,1,28,100,none that i can think of,4,3,4,4,4,3,3,3,4,6,3,3,4,4,4,5,4,3,3,3,4,1,-0.82927937,-1.418490122,-0.483289773,-0.851719645,-0.754264485
